Temp,Resistance
286.15,0.023
286.15,0.042
286.15,0.106
286.15,0.000
286.15,0.211
286.15,0.370
286.15,0.053
286.15,0.008
286.15,0.000
286.15,0.025
286.15,0.196
286.15,0.104
286.15,0.057
286.15,0.081
286.15,0.095
286.15,0.024
286.15,0.031
286.15,0.034
286.15,0.091
286.15,0.066
286.15,0.206
286.15,0.097
286.15,0.015
286.15,0.009
286.15,0.061
286.15,0.152
286.15,0.197
286.15,0.176
286.15,0.202
286.15,0.486
286.15,0.126
286.15,0.355
286.15,0.165
286.15,0.226
286.15,0.500
286.15,0.332
286.15,0.340
286.15,0.326
286.15,0.282
286.15,0.273
286.15,0.201
286.15,0.223
286.15,0.205
286.15,0.496
286.15,0.338
286.15,0.494
286.15,0.488
286.15,0.376
286.15,0.351
286.15,0.403
286.15,0.473
286.15,0.333
286.15,0.251
286.15,0.236
285.15,0.290
285.15,0.425
285.15,0.379
285.15,0.367
285.15,0.345
285.15,0.308
285.15,0.315
285.15,0.304
285.15,0.270
285.15,0.289
285.15,0.276
285.15,0.327
285.15,0.326
285.15,0.345
285.15,0.387
285.15,0.401
285.15,0.348
285.15,0.190
285.15,0.266
285.15,0.292
285.15,0.213
285.15,0.241
285.15,0.500
285.15,0.478
285.15,0.441
285.15,0.455
285.15,0.441
285.15,0.489
285.15,0.490
285.15,0.462
285.15,0.443
285.15,0.403
285.15,0.392
285.15,0.384
285.15,0.402
285.15,0.386
285.15,0.344
285.15,0.373
285.15,0.412
285.15,0.349
285.15,0.293
285.15,0.367
285.15,0.281
285.15,0.319
285.15,0.281
285.15,0.290
285.15,0.230
285.15,0.218
285.15,0.250
285.15,0.225
285.15,0.249
285.15,0.233
285.15,0.188
285.15,0.205
285.15,0.196
285.15,0.218
285.15,0.236
285.15,0.241
285.15,0.232
285.15,0.210
285.15,0.198
285.15,0.227
285.15,0.194
285.15,0.244
285.15,0.476
285.15,0.437
285.15,0.457
285.15,0.432
284.15,0.123
284.15,0.476
284.15,0.499
284.15,0.496
284.15,0.459
284.15,0.460
284.15,0.496
284.15,0.483
284.15,0.322
284.15,0.477
284.15,0.423
284.15,0.450
284.15,0.499
284.15,0.497
284.15,0.495
284.15,0.469
284.15,0.443
284.15,0.448
284.15,0.456
284.15,0.499
284.15,0.490
284.15,0.498
284.15,0.459
284.15,0.373
284.15,0.442
284.15,0.443
284.15,0.482
284.15,0.457
284.15,0.404
284.15,0.419
284.15,0.377
284.15,0.411
284.15,0.437
284.15,0.409
284.15,0.407
284.15,0.345
284.15,0.383
284.15,0.345
284.15,0.359
284.15,0.383
284.15,0.355
284.15,0.346
284.15,0.311
284.15,0.301
284.15,0.327
284.15,0.365
284.15,0.404
284.15,0.382
284.15,0.321
284.15,0.410
284.15,0.328
284.15,0.499
284.15,0.342
284.15,0.453
284.15,0.077
284.15,0.019
284.15,0.088
284.15,0.142
284.15,0.115
284.15,0.175
284.15,0.246
284.15,0.443
284.15,0.014
284.15,0.399
284.15,0.401
284.15,0.043
284.15,0.060
284.15,0.045
284.15,0.143
284.15,0.052
284.15,0.025
284.15,0.013
283.15,0.005
283.15,0.217
283.15,0.495
283.15,0.498
283.15,0.480
283.15,0.500
283.15,0.000
283.15,0.003
283.15,0.308
283.15,0.174
283.15,0.006
283.15,0.457
283.15,0.500
283.15,0.436
283.15,0.500
283.15,0.404
283.15,0.062
283.15,0.314
283.15,0.257
283.15,0.038
283.15,0.113
283.15,0.270
283.15,0.121
283.15,0.163
283.15,0.213
283.15,0.184
283.15,0.096
283.15,0.159
283.15,0.143
283.15,0.143
283.15,0.146
283.15,0.137
283.15,0.105
283.15,0.111
283.15,0.093
283.15,0.130
283.15,0.130
283.15,0.120
283.15,0.111
283.15,0.085
283.15,0.124
283.15,0.101
283.15,0.115
283.15,0.096
283.15,0.081
283.15,0.067
283.15,0.129
283.15,0.208
283.15,0.161
283.15,0.149
283.15,0.117
283.15,0.170
283.15,0.086
283.15,0.085
283.15,0.109
283.15,0.116
283.15,0.100
283.15,0.096
283.15,0.083
283.15,0.094
283.15,0.110
283.15,0.101
283.15,0.110
283.15,0.163
283.15,0.052
283.15,0.062
283.15,0.445
283.15,0.360
283.15,0.202
283.15,0.195
283.15,0.336
283.15,0.016
283.15,0.026
283.15,0.500
283.15,0.500
283.15,0.451
283.15,0.077
283.15,0.311
283.15,0.370
283.15,0.046
